City,Country,Date,Lat,Lng,Max Temperature (F),Humidity,Cloudiness,Wind Speed
mayor pablo lagerenza,py,2018-07-22 17:19:40,-19.93,-60.77,80.68,42.0,88.0,18.61
gat,ly,2018-07-22 17:00:00,14.69,-16.54,96.8,39.0,75.0,10.22
victoria,sc,2018-07-22 17:00:00,5.28,115.24,82.4,83.0,75.0,2.24
quang ngai,vn,2018-07-22 17:19:42,15.12,108.8,77.08,78.0,88.0,4.07
lethem,gy,2018-07-22 17:19:43,3.38,-59.8,86.26,83.0,48.0,7.76
bandrele,yt,2018-07-22 16:30:00,-12.91,45.19,77.0,69.0,75.0,11.41
gafanha da encarnacao,pt,2018-07-22 17:00:00,40.62,-8.73,77.0,68.0,0.0,11.41
biltine,td,2018-07-22 17:19:45,14.53,20.93,88.69,25.0,0.0,6.98
laurens,us,2018-07-22 16:56:00,34.5,-82.02,82.4,65.0,20.0,6.93
grand gaube,mu,2018-07-22 16:00:00,-20.01,57.66,69.8,88.0,75.0,9.17
alice springs,au,2018-07-22 17:00:00,-23.7,133.88,59.0,28.0,0.0,8.05
minsk,by,2018-07-22 16:30:00,53.9,27.56,69.8,88.0,75.0,8.95
nara,ml,2018-07-22 16:30:00,34.68,135.8,80.6,88.0,40.0,4.7
vuktyl,ru,2018-07-22 17:19:47,63.86,57.31,68.26,50.0,0.0,3.4
bonavista,ca,2018-07-22 17:19:48,48.65,-53.11,68.44,68.0,12.0,11.68
taltal,cl,2018-07-22 17:19:49,-25.41,-70.49,65.56,75.0,0.0,4.52
kropotkin,ru,2018-07-22 17:19:49,45.43,40.58,73.75,77.0,24.0,6.42
kijang,id,2018-07-22 16:00:00,35.24,129.21,82.4,83.0,40.0,2.24
lebu,cl,2018-07-22 17:00:00,8.96,38.73,64.4,72.0,75.0,4.7
evensk,ru,2018-07-22 17:19:50,61.92,159.24,55.93,88.0,8.0,3.18
port moresby,pg,2018-07-22 16:00:00,-9.47,147.16,77.0,88.0,75.0,17.22
castro,cl,2018-07-22 17:16:50,-42.48,-73.76,46.3,77.0,68.0,3.62
yerofey pavlovich,ru,2018-07-22 17:19:53,53.97,121.97,60.97,90.0,88.0,4.97
dingle,ie,2018-07-22 17:19:53,11.0,122.67,74.56,100.0,92.0,11.56
pisco,pe,2018-07-22 16:00:00,-13.71,-76.2,66.2,77.0,0.0,9.17
namibe,ao,2018-07-22 17:19:54,-15.19,12.15,68.44,96.0,0.0,10.22
dubti,et,2018-07-22 17:19:54,11.74,41.09,85.27,46.0,24.0,5.53
vao,nc,2018-07-22 17:19:55,59.1,26.19,74.11,71.0,76.0,2.06
basoko,cd,2018-07-22 17:19:57,1.23,23.61,76.99,83.0,32.0,1.61
san quintin,mx,2018-07-22 17:19:57,17.54,120.52,71.59,94.0,100.0,4.41
harper,lr,2018-07-22 16:55:00,30.3,-99.24,95.0,23.0,1.0,10.29
sawang daen din,th,2018-07-22 17:19:59,17.48,103.46,76.9,87.0,32.0,10.11
bilma,ne,2018-07-22 17:19:59,18.69,12.92,97.78,15.0,48.0,3.62
mingshui,cn,2018-07-22 17:20:00,22.81,109.89,75.64,92.0,48.0,2.73
mayumba,ga,2018-07-22 17:20:00,-3.44,10.65,71.23,92.0,0.0,8.43
alofi,nu,2018-07-22 17:00:00,-19.06,-169.92,64.4,93.0,0.0,2.24
berlevag,no,2018-07-22 15:50:00,70.86,29.09,55.4,87.0,75.0,9.17
sept-iles,ca,2018-07-22 17:00:00,50.2,-66.38,68.0,77.0,75.0,11.41
lamu,ke,2018-07-22 17:20:02,0.57,122.3,74.02,100.0,76.0,1.95
klyuchi,ru,2018-07-22 17:20:02,52.25,79.17,57.91,86.0,92.0,5.19
okrika,ng,2018-07-22 17:20:03,5.52,7.78,79.06,88.0,92.0,3.74
nampula,mz,2018-07-22 16:00:00,-15.12,39.26,71.6,60.0,75.0,6.93
guerrero negro,mx,2018-07-22 17:20:05,27.97,-114.04,78.25,69.0,0.0,7.65
rabo de peixe,pt,2018-07-22 17:00:00,37.8,-25.58,75.2,69.0,40.0,10.29
katima mulilo,na,2018-07-22 17:20:06,-17.5,24.28,66.19,42.0,20.0,9.78
mayo,ca,2018-07-22 17:00:00,63.59,-135.9,59.0,54.0,75.0,5.82
auki,sb,2018-07-22 17:21:08,12.18,6.51,81.58,70.0,32.0,4.52
saint-augustin,ca,2018-07-22 17:00:00,44.83,-0.61,78.8,57.0,24.0,10.29
eydhafushi,mv,2018-07-22 17:21:10,5.1,73.07,81.76,100.0,80.0,19.06
san matias,bo,2018-07-22 17:00:00,13.97,-86.63,80.6,51.0,40.0,13.87
pyapon,mm,2018-07-22 17:21:12,16.29,95.68,80.86,90.0,76.0,9.1
sehithwa,bw,2018-07-22 17:21:13,-20.47,22.7,62.41,46.0,0.0,10.0
san vicente,ph,2018-07-22 15:50:00,13.64,-88.78,91.4,55.0,0.0,3.36
gangapur,in,2018-07-22 17:21:16,19.7,75.01,73.66,91.0,92.0,13.58
sault sainte marie,ca,2018-07-22 17:00:00,46.49,-84.36,77.0,61.0,75.0,6.93
denpasar,id,2018-07-22 16:30:00,-8.65,115.22,78.8,88.0,40.0,6.93
bhainsdehi,in,2018-07-22 17:21:17,21.65,77.63,72.49,99.0,92.0,11.68
king city,us,2018-07-22 17:06:00,36.21,-121.13,64.4,77.0,75.0,4.7
ixtapa,mx,2018-07-22 16:44:00,20.71,-105.21,89.6,66.0,5.0,2.51
moose factory,ca,2018-07-22 17:00:00,51.26,-80.61,64.4,55.0,1.0,11.41
zyryanka,ru,2018-07-22 17:21:20,65.73,150.89,53.68,78.0,32.0,5.08
otane,nz,2018-07-22 17:21:20,-39.89,176.62,43.78,56.0,0.0,12.68
pokaran,in,2018-07-22 17:21:21,26.93,71.92,91.48,51.0,56.0,9.22
porto novo,cv,2018-07-22 17:00:00,-23.68,-45.44,73.4,60.0,75.0,5.82
hashtrud,ir,2018-07-22 17:21:24,37.48,47.05,66.01,59.0,0.0,4.41
roma,au,2018-07-22 16:55:00,41.89,12.48,84.2,48.0,0.0,4.7
amahai,id,2018-07-22 17:21:25,-3.31,129.0,79.06,100.0,88.0,12.57
zheleznodorozhnyy,ru,2018-07-22 16:30:00,55.75,38.0,71.6,77.0,0.0,8.95
birao,cf,2018-07-22 17:21:26,10.3,22.78,83.02,64.0,64.0,4.41
meulaboh,id,2018-07-22 17:21:27,4.14,96.13,80.14,100.0,36.0,2.06
camacha,pt,2018-07-22 17:00:00,33.08,-16.33,75.2,60.0,40.0,12.75
matay,eg,2018-07-22 17:21:28,28.42,30.79,90.04,33.0,0.0,8.1
naryan-mar,ru,2018-07-22 17:21:28,67.67,53.09,68.71,48.0,0.0,6.76
ayutla,gt,2018-07-22 17:21:29,20.13,-104.35,77.08,68.0,0.0,3.4
ierapetra,gr,2018-07-22 16:50:00,35.01,25.74,86.0,48.0,0.0,3.36
iberia,pe,2018-07-22 17:21:30,-11.41,-69.49,78.79,60.0,0.0,2.95
jacareacanga,br,2018-07-22 17:21:30,-6.22,-57.76,95.71,28.0,0.0,2.95
nhulunbuy,au,2018-07-22 17:00:00,-12.18,136.78,66.2,93.0,0.0,3.36
kautokeino,no,2018-07-22 17:21:31,69.01,23.04,59.71,99.0,92.0,4.07
sumbe,ao,2018-07-22 17:21:32,-11.2,13.84,70.06,100.0,32.0,6.2
sena madureira,br,2018-07-22 17:21:32,-9.07,-68.66,83.29,53.0,0.0,2.95
santa rosalia,mx,2018-07-22 16:55:00,38.07,13.27,80.6,83.0,20.0,11.41
usinsk,ru,2018-07-22 17:21:34,66.0,57.56,70.96,45.0,0.0,6.76
luderitz,na,2018-07-22 17:21:34,-26.65,15.16,64.3,56.0,8.0,9.1
hambantota,lk,2018-07-22 17:21:35,6.12,81.12,80.77,98.0,32.0,17.83
turbat,pk,2018-07-22 17:21:36,26.0,63.05,91.12,51.0,92.0,6.64
farafangana,mg,2018-07-22 17:21:37,-22.82,47.83,68.71,100.0,88.0,12.12
havoysund,no,2018-07-22 16:50:00,71.0,24.66,53.6,87.0,75.0,3.36
taormina,it,2018-07-22 16:55:00,37.85,15.29,93.2,88.0,40.0,11.41
baoqing,cn,2018-07-22 17:21:39,46.32,132.2,73.66,99.0,56.0,2.62
dakoro,ne,2018-07-22 17:22:39,14.51,6.76,86.71,60.0,0.0,4.07
yumen,cn,2018-07-22 17:22:39,40.29,97.04,62.95,48.0,0.0,8.43
korablino,ru,2018-07-22 17:22:40,53.92,40.02,66.73,98.0,92.0,12.46
mehamn,no,2018-07-22 16:50:00,71.03,27.85,53.6,87.0,75.0,3.36
ustka,pl,2018-07-22 17:22:41,54.58,16.86,69.25,84.0,12.0,0.38
atar,mr,2018-07-22 17:22:41,20.52,-13.05,99.22,25.0,44.0,1.61
inuvik,ca,2018-07-22 17:00:00,68.36,-133.71,66.2,59.0,40.0,4.7
adrar,dz,2018-07-22 17:00:00,27.87,-0.29,118.4,7.0,0.0,5.82
giresun,tr,2018-07-22 17:22:43,40.91,38.39,63.76,93.0,8.0,1.72
mwene-ditu,cd,2018-07-22 17:22:44,-7.01,23.45,70.69,42.0,0.0,6.76
clyde river,ca,2018-07-22 17:00:00,70.47,-68.59,57.2,41.0,75.0,11.41
manbij,sy,2018-07-22 16:50:00,36.53,37.96,87.8,35.0,0.0,18.34
aklavik,ca,2018-07-22 17:00:00,68.22,-135.01,66.2,72.0,75.0,4.7
sadiqabad,pk,2018-07-22 17:22:46,28.31,70.13,96.88,42.0,24.0,10.45
kyabe,td,2018-07-22 17:22:48,9.45,18.94,81.67,65.0,48.0,7.54
vostok,ru,2018-07-22 17:22:49,46.45,135.83,68.89,100.0,92.0,2.17
craig,us,2018-07-22 16:56:00,40.52,-107.55,82.4,34.0,1.0,5.82
quthing,ls,2018-07-22 17:22:50,-30.4,27.7,32.26,92.0,0.0,2.62
gibara,cu,2018-07-22 16:50:00,21.11,-76.13,91.4,55.0,40.0,4.7
kumla,se,2018-07-22 16:50:00,59.13,15.14,71.6,60.0,75.0,10.29
samarai,pg,2018-07-22 17:22:52,-10.62,150.67,77.62,100.0,80.0,14.03
buy,ru,2018-07-22 17:22:53,58.48,41.53,69.16,64.0,20.0,9.78
pangody,ru,2018-07-22 17:22:27,65.85,74.49,73.39,39.0,32.0,9.22
balti,md,2018-07-22 17:22:55,47.76,27.93,71.86,69.0,0.0,4.52
ukiah,us,2018-07-22 16:56:00,39.15,-123.21,71.6,56.0,1.0,3.36
praia,cv,2018-07-22 16:00:00,-20.25,-43.81,77.0,44.0,40.0,13.87
teknaf,bd,2018-07-22 17:22:56,20.86,92.31,75.19,100.0,92.0,4.52
iquique,cl,2018-07-22 16:00:00,-20.22,-70.14,60.8,77.0,90.0,9.17
flagstaff,us,2018-07-22 16:57:00,35.2,-111.65,86.0,44.0,1.0,6.93
fidenza,it,2018-07-22 16:55:00,44.86,10.07,86.0,57.0,40.0,8.05
uruzgan,af,2018-07-22 17:22:59,32.93,66.63,55.12,57.0,0.0,1.72
phalaborwa,za,2018-07-22 16:00:00,-23.95,31.14,71.6,40.0,76.0,3.36
the valley,ai,2018-07-22 17:00:00,18.22,-63.06,87.8,58.0,20.0,16.11
bereda,so,2018-07-22 17:00:00,43.27,-7.54,75.2,69.0,20.0,8.05
alekseyevsk,ru,2018-07-22 17:23:02,57.84,108.35,41.44,94.0,0.0,2.17
san cristobal,ec,2018-07-22 16:00:00,-0.39,-78.55,55.4,87.0,75.0,12.75
shenzhen,cn,2018-07-22 17:00:00,22.54,114.05,84.2,70.0,20.0,5.82
sal rei,cv,2018-07-22 17:00:00,16.18,-22.92,80.6,69.0,75.0,18.34
nuevo emperador,pa,2018-07-22 17:00:00,9.0,-79.73,86.0,79.0,40.0,6.93
flinders,au,2018-07-22 16:00:00,-34.58,150.85,33.8,86.0,0.0,2.24
hit,iq,2018-07-22 17:23:04,33.64,42.83,91.93,21.0,0.0,7.54
la rioja,ar,2018-07-22 17:23:05,-29.41,-66.86,55.93,64.0,0.0,5.41
bosaso,so,2018-07-22 17:18:22,11.28,49.18,87.79,86.0,0.0,5.53
maningrida,au,2018-07-22 17:23:05,-12.05,134.23,70.96,76.0,0.0,11.45
tura,ru,2018-07-22 17:23:06,25.52,90.21,76.72,97.0,92.0,4.07
nyuksenitsa,ru,2018-07-22 17:23:06,60.41,44.24,69.16,54.0,0.0,9.55
parlakimidi,in,2018-07-22 17:23:06,18.77,84.08,79.33,84.0,92.0,2.95
sulphur springs,us,2018-07-22 16:56:00,33.14,-95.6,98.6,29.0,1.0,9.17
thai binh,vn,2018-07-22 17:24:07,20.45,106.33,77.26,95.0,12.0,4.07
pacific grove,us,2018-07-22 17:06:00,36.62,-121.92,68.0,77.0,40.0,3.36
fukue,jp,2018-07-22 16:30:00,35.03,136.69,86.0,74.0,75.0,13.87
kahului,us,2018-07-22 16:56:00,20.89,-156.47,75.2,94.0,40.0,12.75
hwange,zw,2018-07-22 17:24:11,-18.35,26.5,62.86,41.0,0.0,7.54
shu,kz,2018-07-22 17:24:12,43.6,73.76,76.99,62.0,36.0,2.95
callaguip,ph,2018-07-22 17:24:13,18.07,120.49,74.29,100.0,92.0,9.22
humaita,br,2018-07-22 16:00:00,-24.93,-65.37,69.8,39.0,0.0,2.24
floresta,br,2018-07-22 17:24:14,-8.6,-38.57,87.7,34.0,0.0,14.14
axim,gh,2018-07-22 17:24:15,4.87,-2.24,76.27,100.0,92.0,9.1
atherton,au,2018-07-22 16:50:00,53.52,-2.49,75.2,68.0,40.0,5.82
deputatskiy,ru,2018-07-22 17:24:16,69.3,139.9,45.67,78.0,68.0,2.73
batemans bay,au,2018-07-22 17:24:16,-35.71,150.18,35.59,100.0,0.0,4.18
hirara,jp,2018-07-22 17:24:17,24.8,125.28,83.29,98.0,80.0,31.36
zlobin,by,2018-07-22 17:00:00,45.29,14.65,77.0,69.0,0.0,3.36
butuan,ph,2018-07-22 17:24:17,8.95,125.53,74.65,100.0,88.0,3.96
kavaratti,in,2018-07-22 17:24:19,10.57,72.64,83.11,95.0,36.0,26.89
sinjar,iq,2018-07-22 17:24:20,35.59,37.0,84.28,38.0,0.0,13.69
waipawa,nz,2018-07-22 17:24:20,-39.94,176.59,47.38,61.0,0.0,18.28
guozhen,cn,2018-07-22 17:24:21,29.3,113.14,79.96,87.0,24.0,3.06
thurso,ca,2018-07-22 16:50:00,58.6,-3.52,60.8,87.0,92.0,2.24
colares,pt,2018-07-22 17:00:00,38.8,-9.45,80.6,60.0,20.0,13.87
winton,nz,2018-07-22 17:24:25,-22.38,143.04,40.18,80.0,0.0,2.73
fort portal,ug,2018-07-22 17:24:27,0.66,30.28,64.48,82.0,0.0,1.05
mossendjo,cg,2018-07-22 17:24:28,-2.95,12.72,74.92,80.0,0.0,3.62
dublin,us,2018-07-22 17:00:00,53.35,-6.26,80.6,54.0,75.0,6.93
orel-izumrud,ru,2018-07-22 16:30:00,43.46,39.92,78.8,74.0,20.0,4.47
tuy hoa,vn,2018-07-22 17:24:31,13.08,109.3,84.46,77.0,68.0,16.82
berezovyy,ru,2018-07-22 17:24:32,51.67,135.7,50.89,89.0,0.0,2.39
san policarpo,ph,2018-07-22 17:24:33,12.18,125.51,78.25,100.0,92.0,14.47
catemaco,mx,2018-07-22 16:52:00,18.42,-95.11,86.0,79.0,20.0,9.17
beloha,mg,2018-07-22 17:24:34,-25.17,45.06,66.28,69.0,48.0,16.82
emiliano zapata,mx,2018-07-22 17:24:35,20.23,-89.47,93.01,59.0,0.0,3.4
ayan,ru,2018-07-22 17:24:36,40.67,33.6,58.54,86.0,0.0,1.95
puerto maldonado,pe,2018-07-22 16:00:00,-12.59,-69.19,71.6,60.0,0.0,2.24
nawabganj,in,2018-07-22 17:24:36,26.86,82.14,77.08,97.0,56.0,3.62
miri,my,2018-07-22 17:24:37,10.31,9.75,73.84,94.0,12.0,2.73
cornwall,ca,2018-07-22 16:55:00,45.02,-74.73,69.8,82.0,20.0,20.8
narsaq,gl,2018-07-22 16:50:00,60.91,-46.05,57.2,58.0,0.0,6.93
isla mujeres,mx,2018-07-22 16:48:00,21.23,-86.73,87.8,66.0,40.0,8.05
bonnyville,ca,2018-07-22 17:00:00,54.27,-110.74,59.0,82.0,90.0,17.22
takoradi,gh,2018-07-22 17:24:38,4.89,-1.75,76.0,100.0,88.0,6.98
sayville,us,2018-07-22 16:57:00,40.74,-73.08,82.4,83.0,90.0,21.92
warangal,in,2018-07-22 17:20:31,17.99,79.6,74.29,96.0,92.0,11.79
kihei,us,2018-07-22 16:56:00,20.76,-156.45,75.2,94.0,40.0,12.75
santiago del estero,ar,2018-07-22 17:25:42,-27.8,-64.26,67.36,41.0,0.0,7.09
ormara,pk,2018-07-22 17:25:43,25.21,64.64,82.21,93.0,68.0,15.03
severo-kurilsk,ru,2018-07-22 17:25:43,50.68,156.12,50.89,97.0,92.0,17.49
caraguatatuba,br,2018-07-22 17:00:00,-23.62,-45.41,73.4,60.0,75.0,5.82
great yarmouth,gb,2018-07-22 16:50:00,52.61,1.73,75.2,57.0,20.0,6.93
saint-malo,fr,2018-07-22 17:00:00,48.65,-2.02,77.0,64.0,0.0,9.17
rosarito,mx,2018-07-22 16:00:00,4.91,-75.23,71.6,83.0,75.0,2.24
longyearbyen,sj,2018-07-22 16:50:00,78.22,15.63,46.4,81.0,75.0,4.7
goderich,sl,2018-07-22 17:25:49,43.74,-81.71,64.84,96.0,92.0,14.7
gamba,ga,2018-07-22 17:25:50,28.28,88.52,33.25,99.0,80.0,2.39
portland,au,2018-07-22 16:56:00,45.52,-122.67,71.6,56.0,1.0,5.82
pacifica,us,2018-07-22 17:12:00,37.61,-122.49,73.4,72.0,20.0,12.75
lomovka,ru,2018-07-22 16:30:00,53.92,58.37,57.2,58.0,0.0,8.95
baijiantan,cn,2018-07-22 17:25:54,45.63,85.18,80.77,25.0,20.0,8.55
thiruvananthapuram,in,2018-07-22 17:00:00,8.48,76.92,80.6,78.0,40.0,8.05
atambua,id,2018-07-22 17:25:55,-9.11,124.89,73.12,100.0,0.0,9.44
fort nelson,ca,2018-07-22 16:00:00,58.81,-122.69,55.4,62.0,75.0,8.05
vila,vu,2018-07-22 16:50:00,45.18,8.4,86.0,35.0,0.0,10.29
criscior,ro,2018-07-22 17:25:58,46.12,22.87,66.91,95.0,24.0,1.5
tazovskiy,ru,2018-07-22 17:21:35,67.47,78.7,68.89,45.0,8.0,10.78
corsicana,us,2018-07-22 16:55:00,32.09,-96.46,98.6,41.0,1.0,10.29
kenema,sl,2018-07-22 17:26:00,7.89,-11.19,75.91,97.0,100.0,5.08
syamzha,ru,2018-07-22 17:26:00,60.02,41.06,69.79,60.0,0.0,8.1
seminole,us,2018-07-22 16:55:00,32.72,-102.64,93.2,21.0,1.0,8.05
rovaniemi,fi,2018-07-22 16:50:00,66.5,25.72,68.0,94.0,75.0,2.24
hamilton,bm,2018-07-22 16:55:00,32.3,-64.78,82.4,74.0,40.0,13.87
kamenka,ru,2018-07-22 17:26:04,53.19,44.05,62.95,98.0,92.0,14.25
bandarbeyla,so,2018-07-22 17:26:05,9.49,50.81,76.54,80.0,0.0,32.7
port blair,in,2018-07-22 17:26:06,11.67,92.75,84.28,94.0,88.0,17.83
nishihara,jp,2018-07-22 16:56:00,35.74,139.53,86.0,66.0,75.0,3.06
deniliquin,au,2018-07-22 17:26:08,-35.53,144.96,40.0,89.0,0.0,11.01
puerto palomas,mx,2018-07-22 16:53:00,31.78,-107.63,93.2,28.0,1.0,3.36
ketchikan,us,2018-07-22 16:56:00,55.34,-131.65,57.2,87.0,90.0,5.82
yaan,cn,2018-07-22 17:26:10,7.38,8.57,82.39,75.0,68.0,7.43
hulan ergi,cn,2018-07-22 17:26:11,47.2,123.63,71.86,88.0,36.0,2.62
kasempa,zm,2018-07-22 17:26:11,-13.46,25.83,59.17,50.0,0.0,6.76
japura,br,2018-07-22 17:26:12,-0.42,102.29,78.61,78.0,36.0,1.95
lasa,cn,2018-07-22 17:00:00,34.92,32.53,86.0,58.0,0.0,12.75
liuhe,cn,2018-07-22 17:26:13,42.28,125.73,70.24,95.0,8.0,2.17
sao desiderio,br,2018-07-22 17:26:14,-12.36,-44.97,84.46,24.0,0.0,12.12
shush,ir,2018-07-22 17:26:15,55.6,89.45,58.99,99.0,92.0,5.08
belaya gora,ru,2018-07-22 17:26:15,68.54,146.19,54.4,61.0,68.0,8.77
gumdag,tm,2018-07-22 17:26:16,39.2,54.59,90.76,48.0,0.0,9.22
halifax,ca,2018-07-22 17:00:00,44.65,-63.58,71.6,100.0,90.0,5.82
phak hai,th,2018-07-22 16:30:00,14.46,100.37,84.2,79.0,40.0,9.17
north platte,us,2018-07-22 16:53:00,41.12,-100.77,82.4,65.0,1.0,14.99
taitung,tw,2018-07-22 17:26:19,22.76,121.15,74.74,100.0,36.0,1.16
at-bashi,kg,2018-07-22 17:27:20,41.17,75.81,55.39,54.0,0.0,2.95
nakhon phanom,th,2018-07-22 17:27:21,17.4,104.79,74.47,95.0,92.0,4.63
solnechnyy,ru,2018-07-22 17:27:22,50.72,136.64,55.48,92.0,0.0,2.06
calvinia,za,2018-07-22 17:27:22,-31.47,19.78,64.57,27.0,0.0,12.57
richards bay,za,2018-07-22 17:27:23,-28.77,32.06,68.44,64.0,0.0,11.68
alugan,ph,2018-07-22 17:27:24,12.22,125.48,78.25,100.0,92.0,14.47
cervo,es,2018-07-22 17:00:00,-22.19,-46.24,77.0,47.0,75.0,6.93
teseney,er,2018-07-22 17:27:27,15.11,36.66,74.11,81.0,36.0,7.76
qiongshan,cn,2018-07-22 16:00:00,20.01,110.35,80.6,88.0,20.0,11.18
hervey bay,au,2018-07-22 17:25:24,-25.3,152.85,61.96,100.0,0.0,7.09
klaksvik,fo,2018-07-22 16:50:00,62.23,-6.59,51.8,93.0,80.0,10.29
srivardhan,in,2018-07-22 17:27:29,18.03,73.02,74.02,100.0,92.0,7.09
plettenberg bay,za,2018-07-22 17:27:29,-34.05,23.37,72.04,71.0,0.0,11.01
comodoro rivadavia,ar,2018-07-22 16:00:00,-45.87,-67.48,42.8,52.0,20.0,17.22
itarema,br,2018-07-22 17:27:27,-2.92,-39.92,88.51,55.0,64.0,13.8
fare,pf,2018-07-22 17:27:30,-16.7,-151.02,78.61,100.0,32.0,11.23
callaway,us,2018-07-22 17:15:00,46.98,-95.91,77.0,69.0,1.0,11.41
puerto leguizamo,co,2018-07-22 17:27:30,-0.19,-74.78,74.02,98.0,100.0,3.06
yicheng,cn,2018-07-22 17:27:31,31.71,112.27,82.03,81.0,0.0,2.73
shah alam,my,2018-07-22 17:00:00,3.07,101.52,80.6,83.0,75.0,4.18
dhadar,pk,2018-07-22 17:27:31,28.33,75.06,78.79,97.0,92.0,3.51
bichura,ru,2018-07-22 17:27:32,50.59,107.6,48.37,86.0,0.0,2.17
umiray,ph,2018-07-22 17:27:32,15.22,121.41,72.76,99.0,92.0,4.74
birjand,ir,2018-07-22 17:00:00,32.86,59.22,87.8,19.0,0.0,13.87
monterey,us,2018-07-22 17:06:00,36.6,-121.89,68.0,77.0,40.0,3.36
vanino,ru,2018-07-22 17:27:33,53.93,40.55,67.09,96.0,92.0,12.8
nautla,mx,2018-07-22 17:27:34,20.22,-96.78,84.19,98.0,8.0,7.65
tumpat,my,2018-07-22 17:00:00,6.2,102.17,82.4,88.0,75.0,2.95
rosario,ar,2018-07-22 17:00:00,-34.31,-57.35,50.0,71.0,90.0,10.29
quatre cocos,mu,2018-07-22 17:00:00,-20.21,57.76,71.6,73.0,75.0,11.41
assiniboia,ca,2018-07-22 17:27:13,49.63,-105.99,71.77,57.0,0.0,14.81
ngunguru,nz,2018-07-22 17:27:35,-35.62,174.5,54.94,100.0,48.0,9.44
boston,gb,2018-07-22 17:15:00,42.36,-71.06,77.0,88.0,90.0,9.17
pitimbu,br,2018-07-22 17:00:00,-7.47,-34.81,80.6,61.0,40.0,20.8
muisne,ec,2018-07-22 17:27:36,0.61,-80.02,79.24,90.0,56.0,5.53
ushumun,ru,2018-07-22 17:27:36,52.78,126.54,63.31,92.0,36.0,4.18
leh,in,2018-07-22 17:27:37,34.16,77.58,39.55,79.0,80.0,1.5
joura,in,2018-07-22 17:27:37,26.34,77.81,77.62,99.0,76.0,2.06
